Name,MS_FB,MS_FB_PARE,CITY_WIKIDATA,WIKIDATA,India-Outline-Data-Remaps_Boundary Name
agartala,country:in/state:tr/municipality:agartala,country:in/state:tr,Q170454,Q58954342,Agartala Municipal Council area
agra,country:in/state:up/municipality:agra,country:in/state:up,Q42941,Q58954344,Agra Municipal Corporation area
ahmednagar,country:in/state:mh/municipality:ahmednagar,country:in/state:mh,Q223517,Q58954346,Ahmednagar Municipal Corporation area
ahmedabad,country:in/state:gj/municipality:ahmedabad,country:in/state:gj,Q1070,Q58954348,Ahmedabad Municipal Corporation area
aizawl,country:in/state:mz/municipality:aizawl,country:in/state:mz,Q192379,Q58954349,Aizwal Municipal Corporation area
ajmer,country:in/state:rj/municipality:ajmer,country:in/state:rj,Q200049,Q58954351,Ajmer Municipal Corporation area
akola,country:in/state:mh/municipality:akola,country:in/state:mh,Q213014,Q58954353,Akola Municipal Corporation area
aligarh,country:in/state:up/municipality:aligarh,country:in/state:up,Q201832,Q58954355,Aligarh Municipal Corporation area
allahabad,country:in/state:up/municipality:allahabad,country:in/state:up,Q162442,Q58954356,Allahabad Nagar Nigam area
alwar,country:in/state:rj/municipality:alwar,country:in/state:rj,Q2722762,Q58954373,Nagar Parishad Alwar area
Ambernath,country:in/state:mh/municipality:ambernath,country:in/state:mh,Q584008,Q58954376,Ambernath Municipal Council area
amravati,country:in/state:mh/municipality:amravati,country:in/state:mh,Q269899,Q58954378,Amravati Municipal Corporation area
amritsar,country:in/state:pb/municipality:amritsar,country:in/state:pb,Q48403,Q58954379,Amritsar Municipal Corporation area
anantapur,country:in/state:ap/municipality:anantapur,country:in/state:ap,Q760144,Q58954382,Anantapur Municipal Corporation area
arrah,country:in/state:br/municipality:arrah,country:in/state:br,Q588587,Q58954385,Arrah Municipal Corporation area
asansol,country:in/state:wb/municipality:asansol,country:in/state:wb,Q202139,Q58954386,Asansol Municipal Corporation area
aurangabad,country:in/state:mh/municipality:aurangabad,country:in/state:mh,Q200713,Q58954389,Aurangabad Municipal Corporation area
Avadi,country:in/state:tn/municipality:avadi,country:in/state:tn,Q584494,Q58954392,Avadi municipality
Bally,country:in/state:wb/municipality:bally,country:in/state:wb,Q601897,Q58954409,Bally municipality
bengaluru,country:in/state:ka/municipality:bengaluru,country:in/state:ka,Q1355,Q58954410,Bruhat Bengaluru Mahanagara Palike area
barasat,country:in/state:wb/municipality:barasat,country:in/state:wb,Q685315,Q58954412,Barasat municipality
bardhaman,country:in/state:wb/municipality:bardhaman,country:in/state:wb,Q709267,Q58954415,Bardhaman municipality
bareilly,country:in/state:up/municipality:bareilly,country:in/state:up,Q213026,Q58954416,Nagar Nigam Bareilly area
bathinda,country:in/state:pb/municipality:bathinda,country:in/state:pb,Q709319,Q58954417,Municipal Corporation Bathinda area
begusarai,country:in/state:br/municipality:begusarai,country:in/state:br,Q598985,Q58954421,Begusarai Municipal Corporation area
belagavi,country:in/state:ka/municipality:belagavi,country:in/state:ka,Q270176,Q58954423,Belgaum City Corporation area
ballari,country:in/state:ka/municipality:ballari,country:in/state:ka,Q429063,Q58954424,Bellary city Corporation area
berhampur,country:in/state:od/municipality:berhampur,country:in/state:od,Q860210,Q58954440,Berhampur Municipal Corporation area
bhagalpur,country:in/state:br/municipality:bhagalpur,country:in/state:br,Q760714,Q58954441,Bhagalpur Municipal Corporation area
bharatpur,country:in/state:rj/municipality:bharatpur,country:in/state:rj,Q559834,Q58954443,Nagar Nigam Bharatpur area
Bhatpara,country:in/state:wb/municipality:bhatpara,country:in/state:wb,Q854914,Q58954446,Bhatpara municipality
bhavnagar,country:in/state:gj/municipality:bhavnagar,country:in/state:gj,Q242992,Q58954447,Bhavnagar Municipal Corporation area
bhilai,country:in/state:ct/municipality:bhilai,country:in/state:ct,Q242144,Q58954449,Municipal Corporation Bhilai area
bhilwara,country:in/state:rj/municipality:bhilwara,country:in/state:rj,Q760146,Q58954452,Nagar Parishad Bhilwara area
bhiwandi,country:in/state:mh/municipality:bhiwandi,country:in/state:mh,Q645725,Q58954453,Bhiwandi Nizampur city Municipal Corporation area
bhopal,country:in/state:mp/municipality:bhopal,country:in/state:mp,Q80989,Q58954455,Bhopal Municipal Corporation area
bhubaneswar,country:in/state:od/municipality:bhubaneswar,country:in/state:od,Q171771,Q58954471,Bhubhaneshwar Municipal Corporation area
bihar sharif,country:in/state:br/municipality:bihar_sharif,country:in/state:br,Q2308343,Q58954473,Bihar Shariff Municipal Corporation area
bijapur,country:in/state:ct/municipality:bijapur,country:in/state:ct,Q3636023,Q58954474,Vijayapura city Corporation area
bikaner,country:in/state:rj/municipality:bikaner,country:in/state:rj,Q200718,Q58954477,Bikaner Nagar Nigam area
bilaspur,country:in/state:hp/municipality:bilaspur,country:in/state:hp,Q860452,Q58954480,Bilaspur Municipal Corporation area
bokaro steel city,country:in/state:jh/municipality:bokaro_steel_city,country:in/state:jh,Q861827,Q58954481,Bokaro Municipal Corporation area
Chandigarh,country:in/municipality:chandigarh,country:in,Q43433,Q58954483,Municipal Corporation Chandigarh area
chandrapur,country:in/state:mh/municipality:chandrapur,country:in/state:mh,Q861194,Q58954486,Chandrapur Municipal Corporation area
chennai,country:in/state:tn/municipality:chennai,country:in/state:tn,Q1352,Q58954487,Corporation of Chennai area
coimbatore,country:in/state:tn/municipality:coimbatore,country:in/state:tn,Q9885,Q58954505,Coimbatore City Municipal Corporation area
cuttack,country:in/state:od/municipality:cuttack,country:in/state:od,Q207324,Q58954508,Cuttack Municipal Corporation area
darbhanga,country:in/state:br/municipality:darbhanga,country:in/state:br,Q1136189,Q58954510,Dharbanga Municipal Corporation area
davanagere,country:in/state:ka/municipality:davanagere,country:in/state:ka,Q519486,Q58954511,Devanagere city Corporation area
dehradun,country:in/state:uk/municipality:dehradun,country:in/state:uk,Q199528,Q58954514,Nagar Nigam Dehradun area
North Delhi,country:in/territory:dl/municipality:north-delhi,country:in/territory:dl,Q58481532,Q58481532,North Delhi
South Delhi,country:in/territory:dl/municipality:south-delhi,country:in/territory:dl,Q58481533,Q58481533,South Delhi
East Delhi,country:in/territory:dl/municipality:east-delhi,country:in/territory:dl,Q58481534,Q58481534,East Delhi
dewas,country:in/state:mp/municipality:dewas,country:in/state:mp,Q1266413,Q58954523,Dewas Municipal Corporation area
dhanbad,country:in/state:jh/municipality:dhanbad,country:in/state:jh,Q244159,Q58954539,Dhanbad Municipal Corporation area
dhule,country:in/state:mh/municipality:dhule,country:in/state:mh,Q773603,Q58954543,Dhule Municipal Corporation area
Durg,country:in/state:ct/municipality:durg,country:in/state:ct,Q956602,Q58954545,Durg Municipal Corporation area
durgapur,country:in/state:wb/municipality:durgapur,country:in/state:wb,Q5088,Q58954547,Durgapur Municipal Corporation area
eluru,country:in/state:ap/municipality:eluru,country:in/state:ap,Q1003496,Q58954549,Eluru Municipal Corporation area
erode,country:in/state:tn/municipality:erode,country:in/state:tn,Q9824,Q58954553,Erode city Municipal Corporation area
etawah,country:in/state:up/municipality:etawah,country:in/state:up,Q878237,Q58954555,Nagar Palika Parshad Etawah area
faridabad,country:in/state:hr/municipality:faridabad,country:in/state:hr,Q200663,Q58954557,Municipal Corporation of Faridabad area
farrukhabad,country:in/state:up/municipality:farrukhabad,country:in/state:up,Q4549,Q58954561,Nagar Palika Parishad Farrukhabad area
firozabad,country:in/state:up/municipality:firozabad,country:in/state:up,Q1452991,Q58954576,Firozabad Nagar Nigam area
gaya,country:in/state:br/municipality:gaya,country:in/state:br,Q251329,Q58954582,Gaya Municipal Corporation area
ghaziabad,country:in/state:up/municipality:ghaziabad,country:in/state:up,Q207098,Q58954583,Ghaziabad Municipal Corporation area
Gopalpur,country:in/state:wb/municipality:gopalpur,country:in/state:wb,Q2574944,,
gorakhpur,country:in/state:up/municipality:gorakhpur,country:in/state:up,Q244415,Q58954585,Nagar Nigam Gorakhpur area
kalaburagi,country:in/state:ka/municipality:kalaburagi,country:in/state:ka,Q37112,Q58954587,Kalaburaga city Corporation area
guntur,country:in/state:ap/municipality:guntur,country:in/state:ap,Q3120966,Q58954589,Greater Guntur Municipal Corporation area
gurgaon,country:in/state:hr/municipality:gurgaon,country:in/state:hr,Q238508,Q58954590,Municipal Corporation of Gurgoan area
guwahati,country:in/state:as/municipality:guwahati,country:in/state:as,Q199605,Q58954592,Guwahati Municipal Corporation area
gwalior,country:in/state:mp/municipality:gwalior,country:in/state:mp,Q158467,Q58954593,Gwalior Municipal Corporation area
howrah,country:in/state:wb/municipality:howrah,country:in/state:wb,Q205697,Q58954608,Howrah Municipal Corporation area
dharwad,country:in/state:ka/municipality:dharwad,country:in/state:ka,Q33412,Q58954613,Hubli-Dharwad Municipal Corporation area
hyderabad,country:in/state:ts/municipality:hyderabad,country:in/state:ts,Q1361,Q58954617,Greater Hyderabad Municipal Corporation area
ichalkaranji,country:in/state:mh/municipality:ichalkaranji,country:in/state:mh,Q583818,Q58954618,Ichalkaranji Municipal Corporation area
imphal,country:in/state:mn/municipality:imphal,country:in/state:mn,Q208097,Q58954621,Imphal Municipal Corporation area
indore,country:in/state:mp/municipality:indore,country:in/state:mp,Q66616,Q58954623,Indore Municipal Corporation area
jabalpur,country:in/state:mp/municipality:jabalpur,country:in/state:mp,Q200878,Q58954624,Jabalpur Municipal Corporation area
jaipur,country:in/state:rj/municipality:jaipur,country:in/state:rj,Q66485,Q58954626,Jaipur Municipal Corporation area
jalandhar,country:in/state:pb/municipality:jalandhar,country:in/state:pb,Q33377,Q58954628,Municipal Corporation Jalandhar area
jalgaon,country:in/state:mh/municipality:jalgaon,country:in/state:mh,Q30951,Q58954641,Jalgoan city Municipal Corporation area
jalna,country:in/state:mh/municipality:jalna,country:in/state:mh,Q30771,Q58954645,Jalna Municipal Council area
Jammu,country:in/state:jk/municipality:jammu,country:in/state:jk,Q255455,Q58954649,Jammu Municipal Corporation area
jamnagar,country:in/state:gj/municipality:jamnagar,country:in/state:gj,Q1154,Q58954652,Jamnagar Municipal Corporation area
jamshedpur,country:in/state:jh/municipality:jamshedpur,country:in/state:jh,Q200054,Q58954654,Jamshedpur Municipal Corporation area
jhansi,country:in/state:up/municipality:jhansi,country:in/state:up,Q242995,Q58954655,Jhansi Nagar Nigam area
jodhpur,country:in/state:rj/municipality:jodhpur,country:in/state:rj,Q200019,Q58954658,Jodhpur Municipal Corporation area
junagadh,country:in/state:gj/municipality:junagadh,country:in/state:gj,Q11864,Q58954661,Junagadh Municipal Corporation area
cuddapah,country:in/state:ap/municipality:cuddapah,country:in/state:ap,Q30651,Q58954662,Kadapa Municipal Corporation area
kakinada,country:in/state:ap/municipality:kakinada,country:in/state:ap,Q59018,Q58954675,Kakinada Municipal Corporation area
Kalyan-Dombivali,country:in/state:mh/municipality:kalyan-dombivali,country:in/state:mh,Q581999,Q58954679,Kalyan-Dombivali Municipal Corporation area
Kamarhati,country:in/state:wb/municipality:kamarhati,country:in/state:wb,Q68953,Q58954683,Kamarhati municipality
kanpur,country:in/state:up/municipality:kanpur,country:in/state:up,Q66568,Q58954685,Kanpur Municipal Corporation area
karimnagar,country:in/state:ts/municipality:karimnagar,country:in/state:ts,Q5456478,Q58954687,Karimnagar Municipal Corporation area
karnal,country:in/state:hr/municipality:karnal,country:in/state:hr,Q256194,Q58954689,Karnal Municipal Corporation area
khammam,country:in/state:ts/municipality:khammam,country:in/state:ts,Q1921496,Q58954692,Khammam Municipal Corporation area
kochi,country:in/state:kl/municipality:kochi,country:in/state:kl,Q1800,Q58954695,Kochi Municipal Corporation area
kolhapur,country:in/state:mh/municipality:kolhapur,country:in/state:mh,Q209698,Q58954697,Kolhapur Municipal Corporation area
kolkata,country:in/state:wb/municipality:kolkata,country:in/state:wb,Q1348,Q58954708,Kolkata Municipal Corporation area
kollam,country:in/state:kl/municipality:kollam,country:in/state:kl,Q321475,Q58954712,Kollam Municipal Corporation area
korba,country:in/state:ct/municipality:korba,country:in/state:ct,Q2008189,Q58954716,Nagar Nigam Korba area
kota,country:in/state:rj/municipality:kota,country:in/state:rj,Q330531,Q58954718,Kota Municipal Corporation area
kozhikode,country:in/state:kl/municipality:kozhikode,country:in/state:kl,Q28729,Q58954721,Kozhikode Corporation area
kurnool,country:in/state:ap/municipality:kurnool,country:in/state:ap,Q3635276,Q58954724,Kurnool Municipal Corporation area
latur,country:in/state:mh/municipality:latur,country:in/state:mh,Q61394,Q58954725,Latur Municipal Corporation area
Loni,country:in/state:up/municipality:loni,country:in/state:up,Q61436,Q58954729,Loni Nagar Palika Parishad area
lucknow,country:in/state:up/municipality:lucknow,country:in/state:up,Q47916,Q58954730,Lucknow Municipal Corporation area
ludhiana,country:in/state:pb/municipality:ludhiana,country:in/state:pb,Q200123,Q58954742,Ludhiana Municipal Corporation area
madurai,country:in/state:tn/municipality:madurai,country:in/state:tn,Q228405,Q58954746,Madurai Municipal Corporation area
Maheshtala,country:in/state:wb/municipality:maheshtala,country:in/state:wb,Q1807947,Q58954750,Maheshtala municipality
malegaon,country:in/state:mh/municipality:malegaon,country:in/state:mh,Q580965,Q58954752,Malegoan Municipal Corporation area
Mangalore,country:in/state:ka/municipality:mangalore,country:in/state:ka,Q127041,Q58954754,Mangalore City Corporation area
mathura,country:in/state:up/municipality:mathura,country:in/state:up,Q200311,Q58954756,Nagar Nigam Mathura Vrindavan area
mau,country:in/state:up/municipality:mau,country:in/state:up,Q493091,Q58954758,Maunath Bhanjan Municipal Council area
meerut,country:in/state:up/municipality:meerut,country:in/state:up,Q200237,Q58954761,Meerut Municipal Corporation area
Mira-Bhayandar,country:in/state:mh/municipality:mira-bhayandar,country:in/state:mh,Q1006343,Q58954763,Mira-Bhayandar Municipal Corporation area
mumbai,country:in/state:mh/municipality:mumbai,country:in/state:mh,Q1156,Q58954772,Brihanmumbai Municipal Corporation area
muzaffarnagar,country:in/state:up/municipality:muzaffarnagar,country:in/state:up,Q2768828,Q58954776,Muzaffarnagar Municipal Corporation area
muzaffarpur,country:in/state:br/municipality:muzaffarpur,country:in/state:br,Q1453196,Q58954780,Muzaffarnagar Municipal Corporation area
Mysore,country:in/state:ka/municipality:mysore,country:in/state:ka,Q10086,Q58954781,Mysore City Corporation area
nagpur,country:in/state:mh/municipality:nagpur,country:in/state:mh,Q1513,Q58954784,Nagpur Municipal Corporation area
nanded,country:in/state:mh/municipality:nanded,country:in/state:mh,Q855122,Q58954786,Nanded Waghala city Municipal Corporation area
nashik,country:in/state:mh/municipality:nashik,country:in/state:mh,Q200235,Q58954787,Nashik Municipal Corporation area
navi mumbai,country:in/state:mh/municipality:navi_mumbai,country:in/state:mh,Q61445,Q58954790,Navi Mumbai Municipal Corporation area
nellore,country:in/state:ap/municipality:nellore,country:in/state:ap,Q61434,Q58954793,Nellore Municipal Corporation area
nizamabad,country:in/state:ts/municipality:nizamabad,country:in/state:ts,Q41473,Q58954803,Nizamabad Municipal Corporation area
noida,country:in/state:up/municipality:noida,country:in/state:up,Q278204,Q58954807,Greater Noida Authority area
North Dumdum,country:in/state:wb/municipality:north-dumdum,country:in/state:wb,Q36752,Q58954811,North Dumdum municipality
Ozhukarai,country:in/territory:py/municipality:ozhukarai,country:in/territory:py,Q277708,Q58954815,Ozhukarai municipality
Panihati,country:in/state:wb/municipality:panihati,country:in/state:wb,Q1801463,Q58954816,Panihati municipality
panipat,country:in/state:hr/municipality:panipat,country:in/state:hr,Q139706,Q58954817,Municipal Corporation Panipat area
parbhani,country:in/state:mh/municipality:parbhani,country:in/state:mh,Q1920284,Q58954818,Parbhani city Municipal Corporation area
patiala,country:in/state:pb/municipality:patiala,country:in/state:pb,Q208162,Q58954820,Municipal Corporation Patiala area
patna,country:in/state:br/municipality:patna,country:in/state:br,Q80484,Q58954821,Patna Municipal Corporation area
Pimpri-Chinchwad,country:in/state:mh/municipality:pimpri-chinchwad,country:in/state:mh,Q119219,Q58954827,Pimpri-Chinchwad Municipal Corporation area
pune,country:in/state:mh/municipality:pune,country:in/state:mh,Q1538,Q58954831,Pune Municipal Corporation area
purnia,country:in/state:br/municipality:purnia,country:in/state:br,Q1771762,Q58954834,Purnea Municipal Corporation area
raipur,country:in/state:ct/municipality:raipur,country:in/state:ct,Q372773,Q58954837,Raipur Municipal Corporation area
rajahmundry,country:in/state:ap/municipality:rajahmundry,country:in/state:ap,Q1639492,Q58954839,Rajamahendravaram Municipal Corporation area
rajkot,country:in/state:gj/municipality:rajkot,country:in/state:gj,Q11854,Q58954841,Rajkot Municipal Corporation area
Rajpur Sonarpur,country:in/state:wb/municipality:rajpur-sonarpur,country:in/state:wb,Q261988,Q58954842,Rajpur Sonarpur municipality
rampur,country:in/state:up/municipality:rampur,country:in/state:up,Q1487593,Q58954844,Rampur Municipal Corporation area
ranchi,country:in/state:jh/municipality:ranchi,country:in/state:jh,Q174461,Q58954847,Ranchi Municipal Corporation area
ratlam,country:in/state:mp/municipality:ratlam,country:in/state:mp,Q652376,Q58954854,Ratlam Municipal Corporation area
rohtak,country:in/state:hr/municipality:rohtak,country:in/state:hr,Q1453180,Q58954858,Municipal Corporation Rothak area
rourkela,country:in/state:od/municipality:rourkela,country:in/state:od,Q1012706,Q58954862,Rourkela Municipal Corporation area
sagar,country:in/state:mp/municipality:sagar,country:in/state:mp,Q1006355,Q58954866,Sagar Municipal Corporation area
saharanpur,country:in/state:up/municipality:saharanpur,country:in/state:up,Q242895,Q58954868,Saharanpur Nagar Nigam area
salem,country:in/state:tn/municipality:salem,country:in/state:tn,Q9863,Q58954871,Salem City Municipal Corporation area
sambalpur,country:in/state:od/municipality:sambalpur,country:in/state:od,Q876483,Q58954874,Sambalpur Municipal Corporation area
sangli,country:in/state:mh/municipality:sangli,country:in/state:mh,Q882357,Q58954876,Sangli-Miraj & Kupwad Municipal Corporation area
satara,country:in/state:mh/municipality:satara,country:in/state:mh,Q581562,Q58954879,Satara Municipal Council area
satna,country:in/state:mp/municipality:satna,country:in/state:mp,Q58794,Q58954880,Municipal Corporation Satna area
shahjahanpur,country:in/state:up/municipality:shahjahanpur,country:in/state:up,Q2078241,Q58954884,Nagar Palika Parishad & Shahjahanpur area
shivamogga,country:in/state:ka/municipality:shivamogga,country:in/state:ka,Q281796,Q58954888,Shivamogga city Corporation area
siliguri,country:in/state:wb/municipality:siliguri,country:in/state:wb,Q5087,Q58954892,Siliguri Municipal Corporation area
solapur,country:in/state:mh/municipality:solapur,country:in/state:mh,Q237847,Q58954895,Solapur Municipal Corporation area
sonipat,country:in/state:hr/municipality:sonipat,country:in/state:hr,Q41561,Q58954897,Municipal Corporation Sonepat area
South Dumdum,country:in/state:wb/municipality:south-dumdum,country:in/state:wb,Q41538,Q58954905,South Dumdum municipality
srinagar,country:in/state:uk/municipality:srinagar,country:in/state:uk,Q170115,Q58954908,Srinagar Municipal Corporation area
surat,country:in/state:gj/municipality:surat,country:in/state:gj,Q4629,Q58954910,Surat Municipal Corporation area
thane,country:in/state:mh/municipality:thane,country:in/state:mh,Q207749,Q58954912,Thane Municipal Corporation area
thiruvananthapuram,country:in/state:kl/municipality:thiruvananthapuram,country:in/state:kl,Q167715,Q58954916,Thiruvananthapuram Corporation area
thrissur,country:in/state:kl/municipality:thrissur,country:in/state:kl,Q163798,Q58954919,Thrissur Municipal Corporation area
tiruchirappalli,country:in/state:tn/municipality:tiruchirappalli,country:in/state:tn,Q207754,Q58954923,Tiruchirapalli City Municipal Corporation area
tirunelveli,country:in/state:tn/municipality:tirunelveli,country:in/state:tn,Q213248,Q58954926,Tirunelveli city Municipal Corporation area
tirupati,country:in/state:ap/municipality:tirupati,country:in/state:ap,Q1436816,Q58954928,Tirupati Municipal Corporation area
tiruppur,country:in/state:tn/municipality:tiruppur,country:in/state:tn,Q836527,Q58954936,Tiruppur Municipal Corporation area
tumakuru,country:in/state:ka/municipality:tumakuru,country:in/state:ka,Q911310,Q58954938,Tumkue City Corporation area
udaipur,country:in/state:rj/municipality:udaipur,country:in/state:rj,Q200340,Q58954940,Udaipur Municipal Corporation area
ujjain,country:in/state:mp/municipality:ujjain,country:in/state:mp,Q200119,Q58954942,Ujjain Municipal Corporation area
Ulhasnagar,country:in/state:mh/municipality:ulhasnagar,country:in/state:mh,Q460222,Q58954946,Ulhasnagar Municipal Corporation area
vadodara,country:in/state:gj/municipality:vadodara,country:in/state:gj,Q11909,Q58954949,Vadodara Municipal Corporation area
varanasi,country:in/state:up/municipality:varanasi,country:in/state:up,Q79980,Q58954953,Varanasi Municipal Corporation area
Vasai-Virar,country:in/state:mh/municipality:vasai-virar,country:in/state:mh,Q580876,Q58954955,Vasai-Virar City Municipal Corporation area
vijayawada,country:in/state:ap/municipality:vijayawada,country:in/state:ap,Q200017,Q58954959,Vijayawada Municipal Corporation area
visakhapatnam,country:in/state:ap/municipality:visakhapatnam,country:in/state:ap,Q200016,Q58954967,Greater Visakhapatnam Municipal Corporation area
warangal,country:in/state:ts/municipality:warangal,country:in/state:ts,Q213077,Q58954970,Greater Warangal Municipal Corporation area
