Region,Country,Position,HoG,Language,Count,Name Original,Name Original Titlecase,Name,Title,Electoral District,qid,Mismatch,WD name,Alias,Notes,URL on legislature website,Facebook Profile ID,Parliamentary Group (Party),Parliamentary group colour(s),Parliamentary group official website URL,Parliamentary group date of founding
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,1,PRADYUMANSINH MAHIPATSINH JADEJA,Pradyumansinh Mahipatsinh Jadeja,Pradyumansinh Mahipatsinh Jadeja,,Abdasa,Q13115448,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,2,VIRENDRASINH BAHADURSINH JADEJA,Virendrasinh Bahadursinh Jadeja,Virendrasinh Bahadursinh Jadeja,,Mandvi (Kutch),Q13119825,false,,Mandvi,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,3,NIMABEN BHAVESHBHAI ACHARYA,Nimaben Bhaveshbhai Acharya,Nimaben Bhaveshbhai Acharya,,Bhuj,Q18357911,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,4,VASANBHAI GOPALBHAI AHIR,Vasanbhai Gopalbhai Ahir,Vasanbhai Gopalbhai Ahir,,Anjar,Q6959817,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,5,MALTI KISHOR MAHESHWARI,Malti Kishor Maheshwari,Malti Kishor Maheshwari,,Gandhidham,Q18124992,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,6,SANTOKBEN BHACHUBHAI AARETHIYA,Santokben Bhachubhai Aarethiya,Santokben Bhachubhai Aarethiya,,Rapar,Q18393490,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,7,GENIBEN NAGAJI THAKOR,Geniben Nagaji Thakor,Geniben Nagaji Thakor,,Vav,Q13121039,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,8,PARBATBHAI SAVABHAI PATEL,Parbatbhai Savabhai Patel,Parbatbhai Savabhai Patel,,Tharad,Q18389035,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,9,NATHUBHAI HEGOLABHAI PATEL,Nathubhai Hegolabhai Patel,Nathubhai Hegolabhai Patel,,Dhanera,Q18111750,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,10,KANTIBHAI KALABHAI KHARADI,Kantibhai Kalabhai Kharadi,Kantibhai Kalabhai Kharadi,,Danta,Q18111541,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,11,JIGNESKUMAR NATVARLAL MEVANI,Jigneskumar Natvarlal Mevani,Jigneskumar Natvarlal Mevani,,Vadgam,Q18357820,false,,,,,,Independent,,NA,NA
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,12,MAHESHKUMAR AMRUTLAL PATEL,Maheshkumar Amrutlal Patel,Maheshkumar Amrutlal Patel,,Palanpur (Vidhan Sabha constituency),Q18129118,false,,Palanpur,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,13,SHASHIKANT MAHOBATRAM PANDYA,Shashikant Mahobatram Pandya,Shashikant Mahobatram Pandya,,Deesa,Q13117640,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,14,SHIVABHAI AMRABHAI BHURIYA,Shivabhai Amrabhai Bhuriya,Shivabhai Amrabhai Bhuriya,,Deodar,Q18111686,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,15,KIRTISINH PRABHATSINH VAGHELA,Kirtisinh Prabhatsinh Vaghela,Kirtisinh Prabhatsinh Vaghela,,Kankrej,Q18126561,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,16,ALPESH KHODAJI ZALATHAKOR,Alpesh Khodaji Zalathakor,Alpesh Khodaji Zalathakor,,Radhanpur,Q18393074,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,17,DILIPKUMAR VIRAJI THAKOR,Dilipkumar Viraji Thakor,Dilipkumar Viraji Thakor,,Chanasma,Q13117125,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,18,KIRITKUMAR CHIMANLAL PATEL,Kiritkumar Chimanlal Patel,Kiritkumar Chimanlal Patel,,Patan,Q18129254,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,19,CHANDANJI TALAJI THAKOR,Chandanji Talaji Thakor,Chandanji Talaji Thakor,,Sidhpur,Q13121969,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,20,BHARATSINHJI SHANKARJI DABHI,Bharatsinhji Shankarji Dabhi,Bharatsinhji Shankarji Dabhi,,Kheralu,Q18126788,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,21,ASHA PATEL,Asha Patel,Asha Patel,,Unjha,Q13115950,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,22,RUSHIKESH GANESHBHAI PATEL,Rushikesh Ganeshbhai Patel,Rushikesh Ganeshbhai Patel,,Visnagar,Q18395564,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,23,BHARATJI SONAJI THAKOR,Bharatji Sonaji Thakor,Bharatji Sonaji Thakor,,Bechraji,Q13119351,false,,Becharaji,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,24,KARSHANBHAI PUNJABHAI SOLANKI,Karshanbhai Punjabhai Solanki,Karshanbhai Punjabhai Solanki,,Kadi,Q13116222,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,25,NITINBHAI RATILAL PATEL,Nitinbhai Ratilal Patel,Nitinbhai Ratilal Patel,,Mahesana,Q18127676,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,26,RAMANBHAI DHULABHAI PATEL,Ramanbhai Dhulabhai Patel,Ramanbhai Dhulabhai Patel,,Vijapur,Q18395381,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,27,RAJENDRASINH RANJITSINH CHAVDA,Rajendrasinh Ranjitsinh Chavda,Rajendrasinh Ranjitsinh Chavda,,Himatnagar,Q13122348,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,28,HITU KANODIYA,Hitu Kanodiya,Hitu Kanodiya,,Idar,Q18125848,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,29,ASHVINBHAI LAXMANBHAI KOTWAL,Ashvinbhai Laxmanbhai Kotwal,Ashvinbhai Laxmanbhai Kotwal,,Khedbrahma,Q18126786,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,30,ANIL JOSHIYARA,Anil Joshiyara,Anil Joshiyara,,Bhiloda,Q17509707,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,31,RAJENDRASINH SHIVSINH THAKOR,Rajendrasinh Shivsinh Thakor,Rajendrasinh Shivsinh Thakor,,Modasa,Q18128112,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,32,DHAVALSINH NARENDRASINH ZALA,Dhavalsinh Narendrasinh Zala,Dhavalsinh Narendrasinh Zala,,Bayad,Q18110328,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,33,GAJENDRASINH UDESINH PARMAR,Gajendrasinh Udesinh Parmar,Gajendrasinh Udesinh Parmar,,Prantij,Q18344126,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,34,BALRAJSINH KALYANSINH CHAUHAN,Balrajsinh Kalyansinh Chauhan,Balrajsinh Kalyansinh Chauhan,,Dahegam,Q18111500,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,35,SHAMBHUJI CHELAJI THAKOR,Shambhuji Chelaji Thakor,Shambhuji Chelaji Thakor,,Gandhinagar Dakshin,Q18124994,false,,Gandhinagar South,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,36,C.J. CHAVDA,C.J. Chavda,C.J. Chavda,,Gandhinagar Uttar,Q18124996,false,,Gandhinagar North,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,37,SURESHKUMAR CHATURDAS PATEL,Sureshkumar Chaturdas Patel,Sureshkumar Chaturdas Patel,,Mansa,Q18127814,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,38,BALDEVJI CHANDUJI THAKOR,Baldevji Chanduji Thakor,Baldevji Chanduji Thakor,,Kalol,Q18386748,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,39,LAKHABHAI BHIKHABHAI BHARWAD,Lakhabhai Bhikhabhai Bharwad,Lakhabhai Bhikhabhai Bharwad,,Viramgam,Q18395432,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,40,KANUBHAI KARAMSHIBHAI PATEL,Kanubhai Karamshibhai Patel,Kanubhai Karamshibhai Patel,,Sanand,Q18354529,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,41,BHUPENDRABHAI RAJNIKANT PATEL,Bhupendrabhai Rajnikant Patel,Bhupendrabhai Rajnikant Patel,,Ghatlodiya,Q18125095,false,,Ghatlodia,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,42,KISHOR BABULAL CHAUHAN,Kishor Babulal Chauhan,Kishor Babulal Chauhan,,Vejalpur,Q18395283,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,43,PRADIPSINH BHAGVATSINH JADEJA,Pradipsinh Bhagvatsinh Jadeja,Pradipsinh Bhagvatsinh Jadeja,,Vatva,Q18358416,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,44,RAKESHBHAI JASHVANTLAL SHAH,Rakeshbhai Jashvantlal Shah,Rakeshbhai Jashvantlal Shah,,Ellisbridge,Q17198918,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,45,KAUSHIKBHAI JAMANADAS PATEL,Kaushikbhai Jamanadas Patel,Kaushikbhai Jamanadas Patel,,Naranpura,Q18128512,true,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,46,JAGDISH PANCHAL,Jagdish Panchal,Jagdish Panchal,,Nikol,Q18128729,true,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,47,BALRAM KHUBCHAND THAWANI,Balram Khubchand Thawani,Balram Khubchand Thawani,,Naroda,Q18128517,true,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,48,VALLABHBHAI GOBARBHAI KAKADIYA,Vallabhbhai Gobarbhai Kakadiya,Vallabhbhai Gobarbhai Kakadiya,,Thakkarbapa Nagar,Q18388952,true,,Thakkarbapa- nagar,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,49,HIMMATSINH PRAHLADSINH PATEL,Himmatsinh Prahladsinh Patel,Himmatsinh Prahladsinh Patel,,Bapunagar,Q18110233,true,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,50,HASMUKHBHAI SOMABHAI PATEL,Hasmukhbhai Somabhai Patel,Hasmukhbhai Somabhai Patel,,Amraiwadi,Q18109619,true,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,51,GYASUDDIN HABIBUDDEEN SHAIKH,Gyasuddin Habibuddeen Shaikh,Gyasuddin Habibuddeen Shaikh,,Dariapur,Q18111558,true,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,52,IMRAN YUSUFBHAI KHEDAWALA,Imran Yusufbhai Khedawala,Imran Yusufbhai Khedawala,,Jamalpur-Khadiya,Q18126194,true,,Jamalpur- Khadia,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,53,SURESHBHAI DHANJIBHAI PATEL,Sureshbhai Dhanjibhai Patel,Sureshbhai Dhanjibhai Patel,,Maninagar,Q17071864,true,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,54,SHAILESH MANHARBHAI PARMAR,Shailesh Manharbhai Parmar,Shailesh Manharbhai Parmar,,Danilimda,Q18111537,true,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,55,ARVINDKUMAR GANDABHAI PATEL,Arvindkumar Gandabhai Patel,Arvindkumar Gandabhai Patel,,Sabarmati,Q18391847,true,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,56,PRADIPBHAI KHANABHAI PARMAR,Pradipbhai Khanabhai Parmar,Pradipbhai Khanabhai Parmar,,Asarwa,Q18109834,true,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,57,BABUBHAI JAMNADAS PATEL,Babubhai Jamnadas Patel,Babubhai Jamnadas Patel,,Daskroi,Q18111582,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,58,BHUPENDRASINH MANUBHA CHUDASAMA,Bhupendrasinh Manubha Chudasama,Bhupendrasinh Manubha Chudasama,,Dholka,Q18111808,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,59,RAJESHKUMAR HARJIBHAI GOHIL,Rajeshkumar Harjibhai Gohil,Rajeshkumar Harjibhai Gohil,,Dhandhuka,Q18111747,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,60,NAUSHADJI BHALJIBHAI SOLANKI,Naushadji Bhaljibhai Solanki,Naushadji Bhaljibhai Solanki,,Dasada,Q19459124,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,61,SOMABHAI GANDALAL KOLI PATEL,Somabhai Gandalal Koli Patel,Somabhai Gandalal Koli Patel,,Limdi,Q18127247,false,,Limbdi,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,62,DHANJIBHAI PATEL,Dhanjibhai Patel,Dhanjibhai Patel,,Wadhwan,Q18395968,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,63,RUTVIKBHAI LAVJIBHAI MAKWANA,Rutvikbhai Lavjibhai Makwana,Rutvikbhai Lavjibhai Makwana,,Chotila,Q18111259,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,64,PARSOTAM UKABHAI SABARIYA,Parsotam Ukabhai Sabariya,Parsotam Ukabhai Sabariya,,Dhangadhra,Q18111756,false,,Dhrangadhra,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,65,BRIJESH MERJA,Brijesh Merja,Brijesh Merja,,Morbi,Q18128193,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,66,LALITBHAI KAGATHARA,Lalitbhai Kagathara,Lalitbhai Kagathara,,Tankara,Q18387908,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,67,MAHAMADJAVID ABDULMUTALIB PIRZADA,Mahamadjavid Abdulmutalib Pirzada,Mahamadjavid Abdulmutalib Pirzada,,Wankaner,Q18394461,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,68,ARVIND RAIYANI,Arvind Raiyani,Arvind Raiyani,,Rajkot Purva,Q18393290,false,,Rajkot East,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,69,VIJAYKUMAR RAMNIKLAL RUPANI,Vijaykumar Ramniklal Rupani,Vijaykumar Ramniklal Rupani,,Rajkot Pashchim,Q17199169,false,,Rajkot West,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,70,GOVINDBHAI PATEL,Govindbhai Patel,Govindbhai Patel,,Rajkot Dakshin,Q18393287,false,,Rajkot South,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,71,LAKHABHAI SAGATHIYA,Lakhabhai Sagathiya,Lakhabhai Sagathiya,,Rajkot Gramya,Q18393289,false,,Rajkot Rural,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,72,KUNVARJIBHAI MOHANBHAI BAVALIYA,Kunvarjibhai Mohanbhai Bavaliya,Kunvarjibhai Mohanbhai Bavaliya,,Jasdan,Q18126236,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,73,GEETABA JAYRAJSINH JADEJA,Geetaba Jayrajsinh Jadeja,Geetaba Jayrajsinh Jadeja,,Gondal,Q18125180,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,74,JAYESHBHAI VITTHALBHAI RADADIYA,Jayeshbhai Vitthalbhai Radadiya,Jayeshbhai Vitthalbhai Radadiya,,Jetpur,Q18126267,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,75,LALIT VASOYA,Lalit Vasoya,Lalit Vasoya,,Dhoraji,Q18111820,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,76,PRAVINBHAI NARASHIBHAI MUSADIYA,Pravinbhai Narashibhai Musadiya,Pravinbhai Narashibhai Musadiya,,Kalavad,Q18126486,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,77,VALLABHABHAI VELJIBHAI DHARAVIYA,Vallabhabhai Veljibhai Dharaviya,Vallabhabhai Veljibhai Dharaviya,,Jamnagar Gramya,Q18126209,false,,Jamnagar Rural,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,78,DHARMENDRASINH MERUBHA JADEJA,Dharmendrasinh Merubha Jadeja,Dharmendrasinh Merubha Jadeja,,Jamnagar Uttar,Q18126211,false,,Jamnagar North,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,79,R.C. FALDU,R.C. Faldu,R.C. Faldu,,Jamnagar Dakshin,Q18126208,false,,Jamnagar South,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,80,CHIRAGBHAI RAMESHBHAI KALARIYA,Chiragbhai Rameshbhai Kalariya,Chiragbhai Rameshbhai Kalariya,,Jamjodhpur,Q18126201,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,81,VIKRAMBHAI ARJANBHAI MADAM,Vikrambhai Arjanbhai Madam,Vikrambhai Arjanbhai Madam,,Khambhaliya,Q18126761,false,,Khambhalia,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,82,PABUBHA VIRAMBHA MANEK,Pabubha Virambha Manek,Pabubha Virambha Manek,,Dwarka,Q18112107,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,83,BABUBHAI BHIMABHAI BOKHIRIYA,Babubhai Bhimabhai Bokhiriya,Babubhai Bhimabhai Bokhiriya,,Porbandar,Q18343652,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,84,KANDHALBHAI SARMANBHAI JADEJA,Kandhalbhai Sarmanbhai Jadeja,Kandhalbhai Sarmanbhai Jadeja,,Kutiyana,Q18127036,false,,,,,,Nationalist Congress Party,,http://ncp.org.in/,25 May 1999
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,85,JAWAHARBHAI PETHALJIBHAI CHAVDA,Jawaharbhai Pethaljibhai Chavda,Jawaharbhai Pethaljibhai Chavda,,Manavadar,Q18127769,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,86,BHIKHABHAI GALABHAI JOSHI,Bhikhabhai Galabhai Joshi,Bhikhabhai Galabhai Joshi,,Junagadh,Q18126389,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,87,HARSHADKUMAR MADHAVAJIBHAI RIBADIYA,Harshadkumar Madhavajibhai Ribadiya,Harshadkumar Madhavajibhai Ribadiya,,Visavadar,Q18395511,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,88,DEVABHAI PUNJABHAI MALAM,Devabhai Punjabhai Malam,Devabhai Punjabhai Malam,,Keshod,Q18126749,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,89,BABUBHAI KALABHAI VAJA,Babubhai Kalabhai Vaja,Babubhai Kalabhai Vaja,,Mangrol,Q18127783,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
