OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB,NAME_HI
2,2,HIMACHAL PRADESH,3,LAHUL & SPITI,21,Lahaul & Spiti (ST),Q15957704,2,MANDI,202,,8.62202693215,1.33586916581,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:21,"लाहौल और स्पीति विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,1,CHAMBA,1,Churah (SC),Q5116518,1,KANGRA,201,,3.21349555618,0.26808740409,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:1,"चुराह विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,1,CHAMBA,4,Dalhousie,Q15946968,1,KANGRA,201,,1.48264495609,0.05311665319,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:4,"डलहौजी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,1,CHAMBA,3,Chamba,Q15647413,1,KANGRA,201,,1.31415555965,0.04908058551,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:3,"चंबा विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,1,CHAMBA,2,Bharmour (ST),Q15670030,2,MANDI,202,,2.46482457738,0.19842191769,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:2,"भरमौर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,1,CHAMBA,5,Bhattiyat,Q15669568,1,KANGRA,201,,1.48396733877,0.05801548077,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:5,"भटियात विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,20,Baijnath (SC),Q15667811,1,KANGRA,201,,2.25791248462,0.12257019263,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:20,"बैजनाथ विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,6,Nurpur,Q15650846,1,KANGRA,201,,1.13402116602,0.0357911919,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:6,"नूरपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,17,Shahpur,Q30599399,1,KANGRA,201,,1.55360950326,0.0437847759,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:17,"शाहपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,4,KULLU,22,Manali,Q15946962,2,MANDI,202,,1.5115163983,0.10852485238,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:22,"मनाली विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,18,Dharamshala,Q15649724,1,KANGRA,201,,0.79038174693,0.01890848581,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:18,"धर्मशाला विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,7,Indora (SC),Q15946964,1,KANGRA,201,,1.52654752844,0.04156191366,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:7,"इंदौरा विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,9,Jawali,Q15647782,1,KANGRA,201,,1.29368636344,0.0293735538,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:9,"जवाली विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,8,Fatehpur,Q15946966,1,KANGRA,201,,1.68974621154,0.03202230498,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:8,"फतेहपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,19,Palampur,Q15654060,1,KANGRA,201,,0.93977420995,0.0275480138,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:19,"पालमपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,4,KULLU,23,Kullu,Q15646353,2,MANDI,202,,3.01489616998,0.20014423657,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:23,"कुल्लू विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,15,Nagrota,Q15650011,1,KANGRA,201,,1.03826267847,0.02200428182,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:15,"नगरोटा विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,16,Kangra,Q15646004,1,KANGRA,201,,0.8871550068,0.01722711367,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:16,"कांगड़ा विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,2,KANGRA,10,Dehra,Q15946952,3,HAMIRPUR,203,,2.38903640845,0.04803142812,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:10,"देहरा विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,14,Sullah,Q15957706,1,KANGRA,201,,0.94487956543,0.02224061416,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:14,"सुलह विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,13,Jaisinghpur (SC),Q15946963,1,KANGRA,201,,1.00121753663,0.02283406351,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:13,"जयसिंहपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,30,Darang,Q15648405,2,MANDI,202,,1.6567372724,0.07429068682,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:30,"दरंग विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,31,Jogindernagar,Q15647889,2,MANDI,202,,0.99696377183,0.03478271209,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:31,"जोगिंदर नगर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,12,KINNAUR,68,Kinnaur (ST),Q10780104,2,MANDI,202,,4.70468846106,0.6146921553,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:68,"किन्नौर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,2,KANGRA,11,Jaswan-Pragpur,Q15946951,3,HAMIRPUR,203,,1.80228710698,0.03533063256,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:11,"जसवां-परागपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
1,2,HIMACHAL PRADESH,2,KANGRA,12,Jawalamukhi,Q15647911,1,KANGRA,201,,0.87405581076,0.02997914335,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:12,"ज्वालामुखी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,4,KULLU,24,Banjar,Q15660991,2,MANDI,202,,2.30445322194,0.14707008925,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:24,"बंजर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,6,HAMIRPUR,37,Sujanpur,Q15946949,3,HAMIRPUR,203,,0.83163225241,0.02731540565,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:37,"सुजानपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,7,UNA,41,Chintpurni (SC),Q15647575,3,HAMIRPUR,203,,1.30605196151,0.04056348709,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:41,"चिंतपूर्णी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,7,UNA,42,Gagret,Q15647038,3,HAMIRPUR,203,,1.01324464639,0.02618320444,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:42,"गगरेट विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,5,MANDI,32,Dharampur,Q30600414,3,HAMIRPUR,203,,0.84835912992,0.02474876069,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:32,
2,2,HIMACHAL PRADESH,5,MANDI,33,Mandi,Q6748037,2,MANDI,202,,0.9139801908,0.02152412924,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:33,"मंडी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,6,HAMIRPUR,40,Nadaun,Q15650556,3,HAMIRPUR,203,,0.89875416724,0.023924776,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:40,"नादौन विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,6,HAMIRPUR,38,Hamirpur,Q15957699,3,HAMIRPUR,203,,0.89523778313,0.01334300362,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:38,"हमीरपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,35,Sarkaghat,Q15946961,2,MANDI,202,,0.80658009421,0.0226107194,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:35,"सरकाघाट विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,6,HAMIRPUR,36,Bhoranj (SC),Q15946953,3,HAMIRPUR,203,,0.64880316945,0.01479391312,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:36,"भोरंज विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,7,UNA,45,Kutlehar,Q15957698,3,HAMIRPUR,203,,1.19555629209,0.04004578737,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:45,"कुटलेहड़ विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,29,Seraj,Q15946959,2,MANDI,202,,1.2317945675,0.05520306312,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:29,"सिराज विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,34,Balh (SC),Q15663561,2,MANDI,202,,0.85336440082,0.01777946615,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:34,"बल्ह विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,11,SHIMLA,66,Rampur (SC),Q15682569,2,MANDI,202,,1.81250793061,0.09402447015,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:66,"रामपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,6,HAMIRPUR,39,Barsar,Q15946954,3,HAMIRPUR,203,,0.92202549124,0.02704100526,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:39,"बड़सर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,28,Nachan (SC),Q15650551,2,MANDI,202,,1.17803577905,0.03906202628,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:28,"नाचन विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,4,KULLU,25,Anni (SC),Q15644766,2,MANDI,202,,1.29147541473,0.06774540594,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:25,"आनी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,8,BILASPUR,47,Ghumarwin,Q15647371,3,HAMIRPUR,203,,0.91779027808,0.01926259333,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:47,"घुमारवीं विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,7,UNA,43,Haroli,Q15946948,3,HAMIRPUR,203,,0.91668229233,0.02936365769,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:43,"हरोली विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,27,Sundernagar,Q15957705,2,MANDI,202,,1.23804090408,0.03559944319,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:27,"सुन्दरनगर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,8,BILASPUR,48,Bilaspur,Q15665706,3,HAMIRPUR,203,,1.21322713954,0.01910008328,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:48,"बिलासपुर विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,7,UNA,44,Una,Q15645278,3,HAMIRPUR,203,,0.60566155822,0.01025379632,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:44,"उना विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,8,BILASPUR,46,Jhanduta (SC),Q15946947,3,HAMIRPUR,203,,1.02640077576,0.03103691023,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:46,"झंडूता विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
3,2,HIMACHAL PRADESH,8,BILASPUR,49,Sri Naina Deviji,Q15946945,3,HAMIRPUR,203,,1.89478962968,0.0411597477,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:49,"श्री नैना देवी जी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
2,2,HIMACHAL PRADESH,5,MANDI,26,Karsog (SC),Q15645856,2,MANDI,202,,1.06822681087,0.04972686324,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:26,"करसोग विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,11,SHIMLA,67,Rohru (SC),Q15957703,4,SHIMLA (SC),204,,1.97216664372,0.11628710489,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:67,"रोहड़ू विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,9,SOLAN,50,Arki,Q15644074,4,SHIMLA (SC),204,,1.28117003653,0.04668468623,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:50,"अर्की विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,11,SHIMLA,61,Theog,Q15647969,4,SHIMLA (SC),204,,1.43895381043,0.05305761118,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:61,"ठियोग विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,11,SHIMLA,64,Shimla Rural,Q15946957,4,SHIMLA (SC),204,,1.76170793755,0.04431206879,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:64,"शिमला ग्रामीण विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,9,SOLAN,51,Nalagarh,Q15650601,4,SHIMLA (SC),204,,0.93761379346,0.0408741481,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:51,"नालागढ़ विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,11,SHIMLA,65,Jubbal-Kotkhai,Q15647838,4,SHIMLA (SC),204,,1.69614432268,0.05971564227,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:65,"जुब्बल-कोटखाई विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,11,SHIMLA,62,Kasumpti,Q15646358,4,SHIMLA (SC),204,,1.11727259716,0.02920305308,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:62,"कुसुम्पटी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,11,SHIMLA,63,Shimla,Q15957702,4,SHIMLA (SC),204,,0.25417367036,0.00164518797,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:63,"शिमला विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,9,SOLAN,53,Solan (SC),Q10820124,4,SHIMLA (SC),204,,1.19330350854,0.03287381242,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:53,"सोलन विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,11,SHIMLA,60,Chopal,Q15647679,4,SHIMLA (SC),204,,1.64980209939,0.08805433754,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:60,"चौपाल विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,9,SOLAN,52,Doon,Q15649007,4,SHIMLA (SC),204,,0.94389991758,0.03296973726,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:52,"दून विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,9,SOLAN,54,Kasauli (SC),Q15645977,4,SHIMLA (SC),204,,1.10952355423,0.02858832469,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:54,"कसौली विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,10,SIRMAUR,55,Pachhad (SC),Q15651317,4,SHIMLA (SC),204,,1.49575826506,0.07272523611,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:55,"पच्छाद विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,10,SIRMAUR,57,Sri Renukaji (SC,Q15946955,4,SHIMLA (SC),204,,1.71183855106,0.06371663468,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:57,"श्री रेणुकाजी विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,10,SIRMAUR,59,Shillai,Q15957701,4,SHIMLA (SC),204,,1.27527929999,0.04409093393,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:59,"शिलाई विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,10,SIRMAUR,56,Nahan,Q15650624,4,SHIMLA (SC),204,,1.57710838995,0.0552227577,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:56,"नाहन विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
4,2,HIMACHAL PRADESH,10,SIRMAUR,58,Paonta Sahib,Q15946958,4,SHIMLA (SC),204,,1.09219793202,0.03042786351,country:in/state:hp,HP,country:in/state:hp/assembly-constituency:58,"पौंटा साहिब विधानसभा निर्वाचन क्षेत्र, हिमाचल प्रदेश"
